step,hazard,want_switch,allocation
0,0.15000000000000002,False,A
1,0.15000000000000002,False,A
2,0.15000000000000002,False,A
3,0.15000000000000002,False,A
4,0.15000000000000002,False,A
5,0.15000000000000002,False,A
6,0.15000000000000002,False,A
7,0.15000000000000002,False,A
8,0.15000000000000002,False,A
9,0.15000000000000002,False,A
10,0.15000000000000002,False,A
11,0.15000000000000002,False,A
12,0.15000000000000002,False,A
13,0.15000000000000002,False,A
14,0.15000000000000002,False,A
15,0.15000000000000002,False,A
16,0.15000000000000002,False,A
17,0.15000000000000002,False,A
18,0.15000000000000002,False,A
19,0.15000000000000002,False,A
20,0.15000000000000002,False,A
21,0.15000000000000002,False,A
22,0.15000000000000002,False,A
23,0.15000000000000002,False,A
24,0.15000000000000002,False,A
25,0.15000000000000002,False,A
26,0.15000000000000002,False,A
27,0.15000000000000002,False,A
28,0.15000000000000002,False,A
29,0.15000000000000002,False,A
30,0.15000000000000002,False,A
31,0.15000000000000002,False,A
32,0.15000000000000002,False,A
33,0.15000000000000002,False,A
34,0.15000000000000002,False,A
35,0.15000000000000002,False,A
36,0.15000000000000002,False,A
37,0.15000000000000002,False,A
38,0.15000000000000002,False,A
39,0.15000000000000002,False,A
40,0.15000000000000002,False,A
41,0.15000000000000002,False,A
42,0.15000000000000002,False,A
43,0.15000000000000002,False,A
44,0.15000000000000002,False,A
45,0.15000000000000002,False,A
46,0.15000000000000002,False,A
47,0.15000000000000002,False,A
48,0.15000000000000002,False,A
49,0.15000000000000002,False,A
50,0.15000000000000002,False,A
51,0.15000000000000002,False,A
52,0.15000000000000002,False,A
53,0.15000000000000002,False,A
54,0.15000000000000002,False,A
55,0.15000000000000002,False,A
56,0.15000000000000002,False,A
57,0.15000000000000002,False,A
58,0.15000000000000002,False,A
59,0.15000000000000002,False,A
