step,prev_allocation,allocation,allocation_source,proxy_survivability,hazard,hazard_threshold,want_switch,fallback_evaluated,fallback_triggered,core6_fallback_score_n,core6_governance_signal
0,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
1,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
2,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
3,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
4,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
5,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
6,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
7,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
8,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
9,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
10,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
11,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
12,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
13,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
14,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
15,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
16,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
17,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
18,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
19,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
20,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
21,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
22,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
23,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
24,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
25,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
26,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
27,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
28,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
29,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
30,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
31,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
32,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
33,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
34,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
35,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
36,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
37,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
38,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
39,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
40,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
41,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
42,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
43,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
44,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
45,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
46,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
47,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
48,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
49,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
50,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
51,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
52,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
53,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
54,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
55,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
56,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
57,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
58,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
59,A,A,SCENARIO,0.85,0.15000000000000002,0.55,False,True,False,,
