Antibody,Chain,CDR,CDR_length,Aromatic_load,Charge_pH7,Hotspot_score
Antibody_A,VH,CDR1,8,3.0,-0.24,3.24
Antibody_A,VH,CDR2,8,1.0,-1.24,2.24
Antibody_A,VH,CDR3,17,6.0,2.96,8.96
Antibody_A,VL,CDR1,6,1.0,-1.24,2.24
Antibody_A,VL,CDR2,3,1.0,-0.24,1.24
Antibody_A,VL,CDR3,9,2.0,1.76,3.76
Antibody_B,VH,CDR1,8,1.0,-0.24,1.24
Antibody_B,VH,CDR2,8,2.0,0.76,2.76
Antibody_B,VH,CDR3,10,2.0,-1.2,3.2
Antibody_B,VL,CDR1,6,1.0,-0.24,1.24
Antibody_B,VL,CDR2,3,0.0,-1.24,1.24
Antibody_B,VL,CDR3,10,2.0,0.76,2.76
Antibody_C,VH,CDR1,8,3.0,-0.24,3.24
Antibody_C,VH,CDR2,8,1.0,-1.24,2.24
Antibody_C,VH,CDR3,14,3.0,-1.2,4.2
Antibody_C,VL,CDR1,5,1.0,-0.54,1.54
Antibody_C,VL,CDR2,3,0.0,-0.2,0.2
Antibody_C,VL,CDR3,9,0.0,-3.23,3.23
